2021-06-26 22:06:10 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-26 22:06:486 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 10:06:932 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 10:06:290 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (74131ac45e599c53f85ed126e2f0395f)] -> link text: Computers]
2021-06-27 10:06:343 INFO  ComputerPage :29 - Clicking on Desktops link : [[ChromeDriver: chrome on WINDOWS (74131ac45e599c53f85ed126e2f0395f)] -> link text: Desktops]
2021-06-27 10:06:372 INFO  ComputerPage :34 - Getting text from : [[ChromeDriver: chrome on WINDOWS (74131ac45e599c53f85ed126e2f0395f)] -> xpath: //h1[contains(text(),'Desktops')]]
2021-06-27 10:06:402 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 10:06:866 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc37106b89ab582be296a4f27eb5d5d9)] -> link text: Computers]
2021-06-27 10:06:65 INFO  ComputerPage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc37106b89ab582be296a4f27eb5d5d9)] -> xpath: //ul[@class='top-menu notmobile']/li[1]/ul/li[2]/a]
2021-06-27 10:06:111 INFO  ComputerPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (dc37106b89ab582be296a4f27eb5d5d9)] -> xpath: //h1[contains(text(),'Notebooks')]]
2021-06-27 10:06:863 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 10:06:908 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5aa8da7a2300c40556a14bba2d8f4b0a)] -> link text: Computers]
2021-06-27 10:06:468 INFO  ComputerPage :53 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5aa8da7a2300c40556a14bba2d8f4b0a)] -> xpath: //ul[@class='top-menu notmobile']/li[1]/ul/li[3]/a]
2021-06-27 10:06:502 INFO  ComputerPage :58 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5aa8da7a2300c40556a14bba2d8f4b0a)] -> xpath: //h1[contains(text(),'Software')]]
2021-06-27 10:06:467 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 11:06:304 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 11:06:541 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 11:06:790 INFO  HomePage :84 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ad512d9ced40236464630ead2d2a6819)] -> link text: Log in]
